Problem,Makespan_baseline,Makespan_algo,Gap_%,Feasible,AllServed,Construction_s,TS_s,Penalty_TW,Penalty_Cap,Penalty_Range,Penalty_Wait,Truck_paths,Drone_paths,Truck_working_time,Drone_working_time
10.10.1,1735.95,1735.95,-0.0,True,True,0.004,4.482,0.0,0.0,0.0,0.0,"[[[0, 6, 9, 10, 4, 5, 1, 0]]]","[[[0, 7, 0], [0, 8, 2, 0], [0, 3, 0]]]",[1735.95],[1732.7429]
10.10.2,2006.7277,2006.7277,-0.0,True,True,0.003,4.852,0.0,0.0,0.0,0.0,"[[[0, 5, 2, 0]]]","[[[0, 4, 3, 1, 10, 0], [0, 9, 6, 8, 0], [0, 7, 0]]]",[2006.7277],[1634.1228]
10.10.3,1818.1503,1818.1503,0.0,True,True,0.004,4.543,0.0,0.0,0.0,0.0,"[[[0, 4, 5, 1, 10, 3, 8, 0]]]","[[[0, 6, 0], [0, 9, 2, 0], [0, 7, 0]]]",[1818.1503],[1816.6503]
10.10.4,1359.6333,1359.6333,-0.0,True,True,0.004,4.867,0.0,0.0,0.0,0.0,"[[[0, 3, 9, 0]]]","[[[0, 10, 2, 4, 5, 0], [0, 6, 8, 1, 7, 0]]]",[1359.6333],[1251.0709]
10.20.1,5738.0668,5558.0668,-3.1369,True,True,0.003,3.353,0.0,0.0,0.0,0.0,"[[[0, 5, 2, 9, 6, 3, 8, 10, 0]]]","[[[0, 1, 0], [0, 4, 7, 0]]]",[5558.0668],[1116.2815]
10.20.2,6973.4074,6876.8413,-1.3848,True,True,0.003,3.488,0.0,0.0,0.0,0.0,"[[[0, 4, 6, 5, 2, 9, 1, 3, 7, 8, 0]]]","[[[0, 10, 0]]]",[6876.8413],[610.3774]
10.20.3,6468.8684,6437.5841,-0.4836,True,True,0.002,3.063,0.0,0.0,0.0,0.0,"[[[0, 3, 9, 7, 5, 2, 6, 1, 4, 0]]]","[[[0, 8, 10, 0]]]",[6437.5841],[579.8781]
10.20.4,6469.0426,6459.934,-0.1408,True,True,0.002,3.591,0.0,0.0,0.0,0.0,"[[[0, 6, 3, 2, 1, 7, 9, 8, 10, 4, 0]]]","[[[0, 5, 0]]]",[6459.934],[423.1206]
12.5.1,722.7394,722.7394,-0.0,True,True,0.005,10.753,0.0,0.0,0.0,0.0,"[[[0, 7, 6, 12, 4, 10, 0]]]","[[[0, 9, 11, 5, 0], [0, 3, 8, 2, 1, 0]]]",[722.7394],[702.3621]
12.5.2,682.5606,682.5606,-0.0,True,True,0.004,6.428,0.0,0.0,0.0,0.0,"[[[0, 4, 10, 2, 12, 7, 3, 0]]]","[[[0, 5, 1, 9, 11, 6, 8, 0]]]",[671.9001],[682.5606]
