Problem,Makespan_baseline,Makespan_algo,Gap_%,Feasible,AllServed,Construction_s,TS_s,Penalty_TW,Penalty_Cap,Penalty_Range,Penalty_Wait,Truck_paths,Drone_paths,Truck_working_time,Drone_working_time
20.5.1,626.0038,626.6326,0.1004,True,True,0.007,18.649,0.0,0.0,0.0,0.0,"[[[0, 17, 6, 13, 20, 0]], [[0, 11, 18, 10, 1, 9, 12, 0]]]","[[[0, 2, 4, 3, 5, 7, 0], [0, 16, 0]], [[0, 14, 8, 0], [0, 15, 19, 0]]]","[624.9426, 626.6326]","[572.6098, 619.4535]"
20.5.2,711.9603,711.9603,0.0,True,True,0.007,12.437,0.0,0.0,0.0,0.0,"[[[0, 18, 12, 7, 0]], [[0, 1, 17, 20, 4, 5, 0]]]","[[[0, 16, 3, 14, 10, 0], [0, 13, 8, 9, 0]], [[0, 2, 6, 11, 0], [0, 15, 19, 0]]]","[711.9603, 663.1439]","[705.7503, 663.6345]"
20.5.3,499.8123,526.8689,5.4133,True,True,0.012,17.617,0.0,0.0,0.0,0.0,"[[[0, 20, 17, 7, 14, 19, 0]], [[0, 10, 13, 0]]]","[[[0, 15, 5, 9, 8, 3, 0], [0, 18, 16, 0]], [[0, 1, 11, 12, 4, 0], [0, 2, 0], [0, 6, 0]]]","[524.8795, 526.8689]","[519.1076, 522.1864]"
20.5.4,518.3642,562.3259,8.4809,True,True,0.009,15.005,0.0,0.0,0.0,0.0,"[[[0, 15, 14, 20, 1, 12, 0]], [[0, 8, 10, 3, 18, 0]]]","[[[0, 6, 19, 5, 13, 0]], [[0, 17, 2, 7, 11, 16, 0], [0, 9, 4, 0]]]","[537.7224, 562.3259]","[544.0389, 516.0043]"
20.10.1,1190.692,1206.7086,1.3451,True,True,0.011,14.573,0.0,0.0,0.0,0.0,"[[[0, 11, 16, 3, 1, 20, 0]], [[0, 4, 6, 8, 14, 19, 0]]]","[[[0, 13, 5, 2, 0], [0, 9, 0]], [[0, 18, 12, 17, 15, 0], [0, 10, 7, 0]]]","[1195.114, 1201.2438]","[1206.7086, 1189.9992]"
20.10.2,1254.6043,1264.4662,0.7861,True,True,0.008,23.07,0.0,0.0,0.0,0.0,"[[[0, 13, 10, 3, 0]], [[0, 11, 20, 2, 8, 0]]]","[[[0, 18, 7, 4, 16, 0], [0, 19, 6, 0]], [[0, 9, 12, 17, 0], [0, 15, 5, 1, 0], [0, 14, 0]]]","[1208.5018, 1236.3206]","[1163.919, 1264.4662]"
20.10.3,1206.1755,1206.1755,0.0,True,True,0.011,23.551,0.0,0.0,0.0,0.0,"[[[0, 6, 5, 12, 0]], [[0, 9, 19, 7, 0]]]","[[[0, 20, 8, 1, 15, 0], [0, 16, 10, 17, 3, 2, 0]], [[0, 4, 18, 14, 0], [0, 13, 11, 0]]]","[1088.5659, 1206.1755]","[1160.1896, 1178.1407]"
20.10.4,1325.8548,1325.8548,0.0,True,True,0.008,12.323,0.0,0.0,0.0,0.0,"[[[0, 7, 13, 2, 8, 14, 0]], [[0, 6, 11, 1, 5, 4, 16, 15, 0]]]","[[[0, 20, 3, 9, 0], [0, 12, 17, 18, 0]], [[0, 19, 0], [0, 10, 0]]]","[1268.7573, 1317.4039]","[1311.3278, 1325.8548]"
20.20.1,4375.9962,4375.9962,0.0,True,True,0.006,8.759,0.0,0.0,0.0,0.0,"[[[0, 19, 3, 4, 11, 6, 16, 10, 17, 1, 0]], [[0, 7, 12, 18, 8, 13, 20, 14, 0]]]","[[[0, 9, 0], [0, 2, 0], [0, 5, 0]], [[0, 15, 0]]]","[4375.9962, 4317.2259]","[1828.3457, 644.091]"
20.20.2,4041.3119,4041.3119,0.0,True,True,0.007,9.637,0.0,0.0,0.0,0.0,"[[[0, 6, 10, 15, 20, 12, 0]], [[0, 4, 16, 18, 3, 11, 7, 14, 9, 0]]]","[[[0, 19, 2, 0], [0, 13, 0], [0, 1, 0], [0, 8, 0], [0, 5, 0], [0, 17, 0]]]","[4041.3119, 3985.7513]",[3368.1405]
20.20.3,5069.655,4687.5658,-7.5368,True,True,0.005,13.204,0.0,0.0,0.0,0.0,"[[[0, 19, 6, 12, 9, 3, 8, 16, 20, 0]], [[0, 11, 2, 10, 5, 13, 4, 14, 15, 0]]]","[[[0, 1, 18, 0], [0, 17, 0], [0, 7, 0]]]","[4687.5658, 4661.3395]",[1713.6101]
20.20.4,4371.3015,4654.6067,6.481,True,True,0.006,9.088,0.0,0.0,0.0,0.0,"[[[0, 12, 16, 19, 2, 14, 11, 4, 18, 13, 0]], [[0, 17, 8, 5, 7, 15, 6, 0]]]","[[[0, 20, 0], [0, 1, 0], [0, 10, 0], [0, 9, 0]], [[0, 3, 0]]]","[4575.0968, 4654.6067]","[2182.7158, 696.1828]"
50.10.1,1893.3764,1965.7042,3.82,True,True,0.068,300.319,0.0,0.0,0.0,0.0,"[[[0, 20, 11, 28, 35, 15, 14, 24, 42, 50, 3, 0]], [[0, 34, 7, 45, 0]], [[0, 40, 22, 9, 4, 27, 25, 49, 17, 19, 48, 41, 0]]]","[[[0, 46, 38, 2, 0], [0, 1, 29, 26, 0], [0, 12, 6, 33, 0], [0, 30, 10, 0]], [[0, 18, 16, 43, 0], [0, 31, 39, 36, 0], [0, 37, 0]], [[0, 23, 5, 32, 44, 0], [0, 47, 21, 0], [0, 13, 0], [0, 8, 0]]]","[1931.6153, 1965.7042, 1920.0122]","[1873.3203, 1905.5914, 1879.1844]"
50.10.2,1551.8214,1602.5444,3.2686,True,True,0.067,300.232,0.0,0.0,0.0,0.0,"[[[0, 4, 21, 44, 23, 35, 26, 40, 48, 0]], [[0, 47, 2, 8, 33, 7, 46, 49, 20, 27, 11, 0]], [[0, 28, 9, 43, 37, 5, 16, 34, 29, 17, 0]]]","[[[0, 36, 32, 15, 1, 0], [0, 38, 30, 18, 3, 0], [0, 22, 0]], [[0, 6, 41, 12, 0], [0, 14, 13, 0], [0, 31, 0], [0, 25, 0]], [[0, 19, 0], [0, 42, 45, 50, 10, 0], [0, 24, 39, 0]]]","[1602.5444, 1595.2807, 1576.4864]","[1594.8603, 1590.6823, 1405.3098]"
50.10.3,1512.4059,1674.8907,10.7435,True,True,0.078,300.193,0.0,0.0,0.0,0.0,"[[[0, 26, 34, 45, 31, 50, 36, 4, 12, 2, 40, 0]], [[0, 47, 16, 41, 13, 15, 29, 30, 22, 46, 0]], [[0, 7, 43, 38, 28, 9, 11, 0]]]","[[[0, 17, 5, 8, 0], [0, 1, 24, 48, 21, 0], [0, 14, 20, 19, 0], [0, 32, 0]], [[0, 39, 18, 33, 0], [0, 27, 42, 0], [0, 6, 0]], [[0, 10, 37, 25, 0], [0, 49, 3, 44, 0], [0, 23, 35, 0]]]","[1666.7524, 1661.1915, 1674.8907]","[1664.607, 1557.3616, 1572.8145]"
50.10.4,1455.8578,1683.9562,15.6676,True,True,0.083,191.338,0.0,0.0,0.0,0.0,"[[[0, 20, 27, 26, 50, 7, 8, 9, 3, 28, 0]], [[0, 22, 19, 41, 5, 12, 17, 40, 49, 42, 44, 11, 0]], [[0, 45, 29, 36, 0]]]","[[[0, 4, 10, 6, 21, 0], [0, 35, 23, 46, 0], [0, 30, 32, 0], [0, 24, 0]], [[0, 39, 1, 34, 16, 38, 0], [0, 31, 37, 25, 0], [0, 15, 0]], [[0, 33, 48, 0], [0, 47, 43, 18, 0], [0, 14, 2, 0], [0, 13, 0]]]","[1655.9205, 1652.9027, 1683.9562]","[1665.6368, 1507.9219, 1660.75]"
50.20.1,4182.0911,4344.7049,3.8883,True,True,0.051,135.142,0.0,0.0,0.0,0.0,"[[[0, 40, 14, 32, 9, 11, 2, 33, 13, 4, 44, 19, 41, 0]], [[0, 29, 21, 23, 17, 6, 5, 37, 7, 22, 1, 0]], [[0, 15, 48, 38, 28, 50, 36, 16, 35, 27, 43, 10, 42, 8, 39, 0]]]","[[[0, 31, 47, 0], [0, 46, 20, 0], [0, 30, 0], [0, 24, 45, 0], [0, 3, 12, 0], [0, 18, 0], [0, 49, 0]], [[0, 25, 34, 26, 0]]]","[4323.8756, 4344.7049, 4343.692]","[4050.0251, 655.1194]"
